query_id,retrieval_strategy,alpha,top_k,retrieval_latency_ms
INT2-Q-STUDYGLOW,no_retrieval,,1,0.0003
INT2-Q-STUDYGLOW,no_retrieval,,2,0.0003
INT2-Q-STUDYGLOW,no_retrieval,,3,0.0002
INT2-Q-STUDYGLOW,no_retrieval,,5,0.0001
INT2-Q-STUDYGLOW,lexical_only,,1,0.1025
INT2-Q-STUDYGLOW,lexical_only,,2,0.059
INT2-Q-STUDYGLOW,lexical_only,,3,0.0532
INT2-Q-STUDYGLOW,lexical_only,,5,0.0506
INT2-Q-STUDYGLOW,semantic_only,,1,0.1635
INT2-Q-STUDYGLOW,semantic_only,,2,0.1407
INT2-Q-STUDYGLOW,semantic_only,,3,0.1356
INT2-Q-STUDYGLOW,semantic_only,,5,0.1338
INT2-Q-STUDYGLOW,hybrid,0.0,1,0.1976
INT2-Q-STUDYGLOW,hybrid,0.0,2,0.1807
INT2-Q-STUDYGLOW,hybrid,0.0,3,0.1775
INT2-Q-STUDYGLOW,hybrid,0.0,5,0.1903
INT2-Q-STUDYGLOW,hybrid,0.25,1,0.1746
INT2-Q-STUDYGLOW,hybrid,0.25,2,0.1719
INT2-Q-STUDYGLOW,hybrid,0.25,3,0.1812
INT2-Q-STUDYGLOW,hybrid,0.25,5,0.1833
INT2-Q-STUDYGLOW,hybrid,0.5,1,0.1834
INT2-Q-STUDYGLOW,hybrid,0.5,2,0.2311
INT2-Q-STUDYGLOW,hybrid,0.5,3,0.1866
INT2-Q-STUDYGLOW,hybrid,0.5,5,0.1855
INT2-Q-STUDYGLOW,hybrid,0.75,1,0.1847
INT2-Q-STUDYGLOW,hybrid,0.75,2,0.1915
INT2-Q-STUDYGLOW,hybrid,0.75,3,0.1878
INT2-Q-STUDYGLOW,hybrid,0.75,5,0.1864
INT2-Q-STUDYGLOW,hybrid,1.0,1,0.1799
INT2-Q-STUDYGLOW,hybrid,1.0,2,0.1721
INT2-Q-STUDYGLOW,hybrid,1.0,3,0.1735
INT2-Q-STUDYGLOW,hybrid,1.0,5,0.1737
INT2-Q-NOTEBOOK,no_retrieval,,1,0.0001
INT2-Q-NOTEBOOK,no_retrieval,,2,0.0001
INT2-Q-NOTEBOOK,no_retrieval,,3,0.0002
INT2-Q-NOTEBOOK,no_retrieval,,5,0.0001
INT2-Q-NOTEBOOK,lexical_only,,1,0.0477
INT2-Q-NOTEBOOK,lexical_only,,2,0.0444
INT2-Q-NOTEBOOK,lexical_only,,3,0.0445
INT2-Q-NOTEBOOK,lexical_only,,5,0.0425
INT2-Q-NOTEBOOK,semantic_only,,1,0.1487
INT2-Q-NOTEBOOK,semantic_only,,2,0.1445
INT2-Q-NOTEBOOK,semantic_only,,3,0.1368
INT2-Q-NOTEBOOK,semantic_only,,5,0.1326
INT2-Q-NOTEBOOK,hybrid,0.0,1,0.1739
INT2-Q-NOTEBOOK,hybrid,0.0,2,0.1667
INT2-Q-NOTEBOOK,hybrid,0.0,3,0.1661
INT2-Q-NOTEBOOK,hybrid,0.0,5,0.166
INT2-Q-NOTEBOOK,hybrid,0.25,1,0.1811
INT2-Q-NOTEBOOK,hybrid,0.25,2,0.1797
INT2-Q-NOTEBOOK,hybrid,0.25,3,0.182
INT2-Q-NOTEBOOK,hybrid,0.25,5,0.1827
INT2-Q-NOTEBOOK,hybrid,0.5,1,0.165
INT2-Q-NOTEBOOK,hybrid,0.5,2,0.1644
INT2-Q-NOTEBOOK,hybrid,0.5,3,0.1774
INT2-Q-NOTEBOOK,hybrid,0.5,5,0.181
INT2-Q-NOTEBOOK,hybrid,0.75,1,0.1659
INT2-Q-NOTEBOOK,hybrid,0.75,2,0.1648
INT2-Q-NOTEBOOK,hybrid,0.75,3,0.165
INT2-Q-NOTEBOOK,hybrid,0.75,5,0.1653
INT2-Q-NOTEBOOK,hybrid,1.0,1,0.1652
INT2-Q-NOTEBOOK,hybrid,1.0,2,0.1652
INT2-Q-NOTEBOOK,hybrid,1.0,3,0.171
INT2-Q-NOTEBOOK,hybrid,1.0,5,0.1932
INT2-Q-STUDY-CLUB,no_retrieval,,1,0.0002
INT2-Q-STUDY-CLUB,no_retrieval,,2,0.0001
INT2-Q-STUDY-CLUB,no_retrieval,,3,0.0002
INT2-Q-STUDY-CLUB,no_retrieval,,5,0.0001
INT2-Q-STUDY-CLUB,lexical_only,,1,0.0454
INT2-Q-STUDY-CLUB,lexical_only,,2,0.0396
INT2-Q-STUDY-CLUB,lexical_only,,3,0.0381
