query_id,alpha,top_k,recall_at_k
INT2-Q-STUDYGLOW,0.0,1,0.5
INT2-Q-STUDYGLOW,0.0,2,0.5
INT2-Q-STUDYGLOW,0.0,3,0.5
INT2-Q-STUDYGLOW,0.0,5,1.0
INT2-Q-STUDYGLOW,0.25,1,0.5
INT2-Q-STUDYGLOW,0.25,2,0.5
INT2-Q-STUDYGLOW,0.25,3,0.5
INT2-Q-STUDYGLOW,0.25,5,1.0
INT2-Q-STUDYGLOW,0.5,1,0.5
INT2-Q-STUDYGLOW,0.5,2,0.5
INT2-Q-STUDYGLOW,0.5,3,0.5
INT2-Q-STUDYGLOW,0.5,5,1.0
INT2-Q-STUDYGLOW,0.75,1,0.5
INT2-Q-STUDYGLOW,0.75,2,0.5
INT2-Q-STUDYGLOW,0.75,3,0.5
INT2-Q-STUDYGLOW,0.75,5,1.0
INT2-Q-STUDYGLOW,1.0,1,0.5
INT2-Q-STUDYGLOW,1.0,2,0.5
INT2-Q-STUDYGLOW,1.0,3,0.5
INT2-Q-STUDYGLOW,1.0,5,1.0
INT2-Q-NOTEBOOK,0.0,1,0.5
INT2-Q-NOTEBOOK,0.0,2,0.5
INT2-Q-NOTEBOOK,0.0,3,1.0
INT2-Q-NOTEBOOK,0.0,5,1.0
INT2-Q-NOTEBOOK,0.25,1,0.5
INT2-Q-NOTEBOOK,0.25,2,0.5
INT2-Q-NOTEBOOK,0.25,3,1.0
INT2-Q-NOTEBOOK,0.25,5,1.0
INT2-Q-NOTEBOOK,0.5,1,0.5
INT2-Q-NOTEBOOK,0.5,2,0.5
INT2-Q-NOTEBOOK,0.5,3,1.0
INT2-Q-NOTEBOOK,0.5,5,1.0
INT2-Q-NOTEBOOK,0.75,1,0.5
INT2-Q-NOTEBOOK,0.75,2,0.5
INT2-Q-NOTEBOOK,0.75,3,1.0
INT2-Q-NOTEBOOK,0.75,5,1.0
INT2-Q-NOTEBOOK,1.0,1,0.5
INT2-Q-NOTEBOOK,1.0,2,0.5
INT2-Q-NOTEBOOK,1.0,3,1.0
INT2-Q-NOTEBOOK,1.0,5,1.0
INT2-Q-STUDY-CLUB,0.0,1,0.5
INT2-Q-STUDY-CLUB,0.0,2,0.5
INT2-Q-STUDY-CLUB,0.0,3,0.5
INT2-Q-STUDY-CLUB,0.0,5,1.0
INT2-Q-STUDY-CLUB,0.25,1,0.5
INT2-Q-STUDY-CLUB,0.25,2,0.5
