configuration_id,strategy,alpha,top_k,embedding_source,mean_recall_at_k,mean_precision_at_k,mean_reciprocal_rank,all_required_retrieval_count,query_count,at_least_one_relevant_count,required_evidence_miss_count,insufficient_evidence_risk_proxy,mean_first_required_rank_where_defined,worst_query_ids,mean_retrieval_latency_ms,pareto_nondominated,stage_b_roles
hybrid.alpha-0.00.k-1,hybrid,0.0,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.5219,true,
hybrid.alpha-0.00.k-2,hybrid,0.0,2,PRECOMPUTED,0.75,0.75,1.0,3,6,6,3,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDYGLOW,2.2308833333333333,true,
hybrid.alpha-0.00.k-3,hybrid,0.0,3,PRECOMPUTED,1.0,0.7222222222222222,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.5494166666666667,true,D
hybrid.alpha-0.00.k-5,hybrid,0.0,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.4814166666666666,false,
hybrid.alpha-0.25.k-1,hybrid,0.25,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.5187500000000003,true,
hybrid.alpha-0.25.k-2,hybrid,0.25,2,PRECOMPUTED,0.6666666666666666,0.6666666666666666,1.0,2,6,6,4,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.1483166666666667,false,
hybrid.alpha-0.25.k-3,hybrid,0.25,3,PRECOMPUTED,0.9166666666666666,0.6666666666666666,1.0,5,6,6,1,0,1.0,INT2-Q-STUDY-CLUB,2.3764833333333333,false,
hybrid.alpha-0.25.k-5,hybrid,0.25,5,PRECOMPUTED,1.0,0.6388888888888888,1.0,6,6,6,0,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.3585,false,
hybrid.alpha-0.50.k-1,hybrid,0.5,1,PRECOMPUTED,0.5,1.0,1.0,0,6,6,6,0,1.0,INT2-Q-FLEXI;INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW;INT2-Q-TAX-GUIDE,2.4620833333333336,true,
hybrid.alpha-0.50.k-2,hybrid,0.5,2,PRECOMPUTED,0.6666666666666666,0.6666666666666666,1.0,2,6,6,4,0,1.0,INT2-Q-MARKET-EDGE;INT2-Q-NOTEBOOK;INT2-Q-STUDY-CLUB;INT2-Q-STUDYGLOW,2.163466666666667,false,
