observation_id,query_id,eligible_evidence_ids,subset_evidence_ids,subset_size,eligible_size,evidence_count,evidence_fraction,sku_scoped_evidence_fraction,merchant_scope_evidence_present,product_scope_evidence_present,max_score,mean_score,score_margin,source_kind_count,source_kind_diversity,constraint_count,constraint_family_purpose,constraint_family_exclusion,evidence_text_kchars_mean,semantic_input_sha256,execution_provenance,source_run_id,source_observation_id,semantic_status,semantic_verdict,final_action,frozen_full_evidence_action,decision_stable,provider_error,reason_code,live_latency_ms,live_input_tokens,live_output_tokens
INT3:INT2-Q-STUDYGLOW:m1000,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1,1,4,1.0,0.25,1.0,1.0,0.0,0.27940802904666096,0.27940802904666096,0.0,1.0,1.0,2.0,1.0,1.0,0.143,40dd8f1b558504623f1f90c7b19d3636dea8fe551a7b2b67a95fbd4f330f441f,PRIOR_PARTIAL_RUN_RESULT,subset-live-20260831T130829Z-48fa600c,INT3:INT2-Q-STUDYGLOW:m1000,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,,,
INT3:INT2-Q-STUDYGLOW:m0100,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.6081314259309315,0.6081314259309315,0.0,1.0,1.0,2.0,1.0,1.0,0.127,9d74f2f600518e9d40915b549e6170c29e35525fa787dbffd900fe27e5af5e09,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,3892.73800002411,434,92
INT3:INT2-Q-STUDYGLOW:m0010,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1,1,4,1.0,0.25,0.0,0.0,0.0,0.2916056248735063,0.2916056248735063,0.0,1.0,1.0,2.0,1.0,1.0,0.104,8642f65ea236d4fd8ebcad7364f535f1738cc05f76ea721285730630566e7efa,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2457.593800034374,428,103
INT3:INT2-Q-STUDYGLOW:m0001,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,studyglow-evidence-v1,1,4,1.0,0.25,1.0,0.0,1.0,0.8397096636165347,0.8397096636165347,0.0,1.0,1.0,2.0,1.0,1.0,0.116,2ee7142d0d4f812a4133d94ca1ddbb5711f7875e1c33265c4677c1d9a975427c,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,F:INT2-Q-STUDYGLOW,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
INT3:INT2-Q-STUDYGLOW:m1100,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.6081314259309315,0.44376972748879623,0.32872339688427055,2.0,1.0,2.0,1.0,1.0,0.135,fb5f44acf62fea5e0ee17a169b66447f4ef4e230a73ba2a2f5eb738e2641445c,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,1955.4894000757486,490,83
INT3:INT2-Q-STUDYGLOW:m1010,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|study-club-evidence-v1,2,4,2.0,0.5,0.5,1.0,0.0,0.2916056248735063,0.2855068269600836,0.01219759582684532,2.0,1.0,2.0,1.0,1.0,0.1235,d5e369c9e4ce4e9273f7a45c831fb244325660c0a6f110336bf0986ad7b2929f,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,2955.8228999376297,488,140
INT3:INT2-Q-STUDYGLOW:m1001,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|studyglow-evidence-v1,2,4,2.0,0.5,1.0,1.0,1.0,0.8397096636165347,0.5595588463315978,0.5603016345698737,2.0,1.0,2.0,1.0,1.0,0.1295,621a860ecbd6993286a2b57bb1a5c0cb6e5a0d70925a71c38f5cd02769f6312b,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,2100.429499987513,550,72
INT3:INT2-Q-STUDYGLOW:m0110,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|study-club-evidence-v1,2,4,2.0,0.5,0.0,0.0,0.0,0.6081314259309315,0.4498685254022189,0.3165258010574252,2.0,1.0,2.0,1.0,1.0,0.1155,73006d21c04633fe1a80545f5187a2b169ee88ad25d07032997747fb341a9efd,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,1893.531300011091,434,108
INT3:INT2-Q-STUDYGLOW:m0101,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,notebook-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.8397096636165347,0.7239205447737331,0.23157823768560315,1.0,0.5,2.0,1.0,1.0,0.1215,0337082d266cae103e542af368399460fa060ca419be688a7eb2cc31e03f7413,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,3637.6878999872133,497,164
INT3:INT2-Q-STUDYGLOW:m0011,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,study-club-evidence-v1|studyglow-evidence-v1,2,4,2.0,0.5,0.5,0.0,1.0,0.8397096636165347,0.5656576442450205,0.5481040387430284,2.0,1.0,2.0,1.0,1.0,0.11,d18fc9fabd3d87712522a3c5ab80d983be46feb3f574a8700a0a613df08d8ed3,NEW_LIVE_EXECUTION,,,EVALUATED,PASS,ALLOW,ALLOW,1,,,4536.897799931467,499,220
INT3:INT2-Q-STUDYGLOW:m1110,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1,3,4,3.0,0.75,0.3333333333333333,1.0,0.0,0.6081314259309315,0.39304835995036624,0.3165258010574252,3.0,1.0,2.0,1.0,1.0,0.12466666666666668,4151ab4b42aa6615429867123341d8f2112fcaf2d4e0968a14491fa7b0aea7b7,NEW_LIVE_EXECUTION,,,EVALUATED,ABSTAIN,REVIEW,ALLOW,0,,,1751.3740999856964,496,70
INT3:INT2-Q-STUDYGLOW:m1101,INT2-Q-STUDYGLOW,scholarly-terms-v1|notebook-evidence-v1|study-club-evidence-v1|studyglow-evidence-v1,scholarly-terms-v1|notebook-evidence-v1|studyglow-evidence-v1,3,4,3.0,0.75,0.6666666666666666,1.0,1.0,0.8397096636165347,0.5757497061980423,0.23157823768560315,2.0,0.6666666666666666,2.0,1.0,1.0,0.12866666666666665,445f1ddb7b19b374dafd8cc6b381d97cd812cf493d2717a0f1175f9f5f049bad,PRIOR_EXACT_RESULT,stage-b-live-20260830T123856Z-0e4213c,C:INT2-Q-STUDYGLOW,EVALUATED,PASS,ALLOW,ALLOW,1,,,,,
